states_solved,max_d,path_damage_final,path_damage_max,fatigue_f_min,abar_max_MPa,psi_plus_max_MPa,damage_jump_max,damage_jump_cycle,damage_jump_phase,post_shutin_damage_jump,psi_injection_peak_MPa,psi_postshutin_peak_MPa,postshut_amplification,N_severe_breach80,severe_breach_phase,severe_breach_time_h,censored_severe80,N_path_10,N_path_25,N_path_50,N_failure,failure_phase,failure_time_h,censored_primary,critical_angle_deg,observed_cycles,planned_cycles,case_id,nr_case,nr_cement,nr_rock,nt,htheta_over_ell,hrad_over_ell,solver_stdout,dT_K,dp_MPa,t_inj_h,t_shut_h,ramp_down_h,recovery_frac,SHmax_MPa,stress_ratio,Ecement_GPa,nu_c,alpha_c_e6,ft_MPa,Gc_Jm2,eta_fat,Erock_GPa,ell_m,Sy_MPa,wall_recovery_h
241,0.695494426955,0.511184527838,0.511184527838,0.0632549280231,0.00611287656499,0.00233897632907,0.259307421914,1,1,False,0.00233897632907,0.000380809510837,0.16281033121374666,,-1,,True,1.0,5.0,35.0,35.0,1,1660.052394625,False,0.489130434783,40,40,B000020,4,11,14,92,0.546495667820895,0.5203828062405811,OK states=241 max_d=0.721379 alphaT=0.000879283 MPa,83.29383516255311,4.106537904382706,12.19401195134737,36.272411068461565,5.097454832017192,0.6944478884956014,30.024812999889058,0.6345502488222546,11.563636873668617,0.23746844060254066,8.494292444885424,3.8865167481598744,75.55469452844748,0.07099465483987318,49.48384034001738,0.006100404195671697,19.052252559921268,25.189299277137614
3,0.93926565362,0.844436309846,0.844436309846,0.0245718582119,0.00307855004074,0.000898719830458,0.911988493536,1,1,False,0.000898719830458,0.0,0.0,1.0,1,31.985155606388886,False,1.0,1.0,1.0,1.0,1,31.985155606388886,False,0.542168674699,1,40,B000021,4,10,14,83,0.5438672891743728,0.5139396263317251,OK states=241 max_d=0.969966 alphaT=0.000261807 MPa,82.89727207902214,9.994490547622174,31.985155606348062,50.48424082201896,3.7461354958653867,0.4986130435487312,20.382542439019502,0.8038774690693395,7.555679427428268,0.1992802071269925,12.411376083113801,2.234946951858288,42.58917691891333,0.041768110819317694,31.48886150233545,0.006794572399338727,16.3850666290774,25.172100967513973
241,0.560926518352,0.393175182147,0.393175182147,0.142845877385,0.00271152082122,0.000645533325363,0.349619586375,1,1,False,0.000645533325363,3.08685357053e-05,0.047818655509290445,,-1,,True,1.0,4.0,,,-1,,True,0.592105263158,40,40,B000022,4,9,14,76,0.5493942995537194,0.5281974555674503,OK states=241 max_d=0.587066 alphaT=0.000631804 MPa,95.97161668781911,3.173500194024116,22.931650018313274,31.627414994910463,3.9239057213306077,0.5045472738890455,23.031153028488742,0.8824610777587445,7.434525583301235,0.21214162755647098,11.629090763713823,2.3712743728491694,52.67711445959563,0.08810405356126538,22.941842216398094,0.007345737771174335,20.32409612354675,15.957526015839594
241,0.383180225235,0.193229962812,0.193229962812,0.113602229622,0.00531560668444,0.00128665750883,0.0913567212476,1,1,False,0.00128665750883,0.000548977403828,0.42666941284724885,,-1,,True,10.0,,,,-1,,True,0.542168674699,40,40,B000023,4,10,14,83,0.5462979009378437,0.5162364875814099,OK states=241 max_d=0.392216 alphaT=0.00107737 MPa,103.78425036090486,6.800940967881743,43.90192114946625,71.18072976850839,3.2377517712370105,0.46440267565641447,38.047785633098655,0.7961707269905911,11.783084254651477,0.21149908632166373,9.431186645672826,4.476555567825481,109.07637979957347,0.0668131140786562,29.39931765092798,0.006764341699983602,30.292533147886324,33.056521359671486
4,0.998223672217,0.801640184722,0.801640184722,0.0396972515647,0.0059619263365,0.509664886919,0.911754590434,1,1,False,0.0149379026066,0.509664886919,34.11890546761332,1.0,2,33.380577635,False,1.0,1.0,1.0,1.0,1,29.647286183333332,False,0.5625,1,40,B000024,4,10,14,80,0.5458039810298179,0.4971274668493469,OK states=241 max_d=1 alphaT=0.000659647 MPa,84.13741542873055,11.693838130532374,29.64728618322914,65.1865751876863,3.7332914517160596,0.8702920367961158,20.435565039665146,0.5699850717932056,10.927748152413963,0.26165180598772464,10.486909907457154,2.957458594508019,53.30762645624503,0.08692176339760785,37.358836170753705,0.007024355387424688,11.64796700626826,56.73135729185466
3,0.984356548298,0.880760436678,0.880760436678,0.0103386520775,0.00540738003286,0.0298747616299,0.944430758705,1,1,False,0.0298747616299,0.0,0.0,1.0,1,10.978144103750001,False,1.0,1.0,1.0,1.0,1,10.978144103750001,False,0.803571428571,1,40,B000025,4,7,14,56,0.5436013011894298,0.4951212289188977,OK states=241 max_d=1 alphaT=0.000289634 MPa,84.57635138062554,3.4143701233745,10.978144103756673,55.5941535616774,4.838603402514896,0.5231724075334634,24.42315594866913,0.5635956118674531,14.613191835733828,0.22600185254392735,10.470068173464426,3.3614264612370732,73.86572962678486,0.03950671265845482,28.179712342032516,0.010075454529517998,13.764783520624405,29.085327163647836
3,0.95373100333,0.802208940765,0.802208940765,0.0316823023388,0.00707085296596,0.0742335267568,0.939504475603,1,1,False,0.0742335267568,0.0,0.0,1.0,1,17.663619870583332,False,1.0,1.0,1.0,1.0,1,17.663619870583332,False,0.494505494505,1,40,B000026,4,11,14,91,0.5445988866723862,0.5129399550002401,OK states=241 max_d=1 alphaT=0.000690766 MPa,98.00098465392331,4.862998455077255,17.66361987058706,12.876249901795264,1.5276098274341865,0.8340055814564742,32.10491568450119,0.5526796849919002,9.400559630194273,0.26899818462787745,11.586152433055993,2.8971081497523112,52.39223539786022,0.08159785754511184,35.744064356316684,0.00618892216057524,17.743734687201634,10.738864286325628
241,0.710288609902,0.541476894505,0.541476894505,0.151310000977,0.00289291171839,0.00066584790648,0.575649964571,1,1,False,0.00066584790648,0.000434304059355,0.6522571523141751,,-1,,True,1.0,1.0,12.0,12.0,1,1193.2004613138888,False,0.625,40,40,B000027,4,9,14,72,0.5487948044347392,0.4998515592245564,OK states=241 max_d=0.747872 alphaT=0.000698505 MPa,91.49623553564982,9.32784272514913,34.3041426336428,71.05006815546456,5.170812386248395,0.625668978376319,35.68246544297962,0.7373585814556479,12.710294319827717,0.19126525536082095,9.611680646340034,2.8238247204525013,46.17285616655434,0.11742851813845664,43.07034845889448,0.007762304484993959,26.31077210187563,44.453823556397346
241,0.910139476042,0.793241903011,0.793241903011,0.0686120573029,0.0065912283777,0.0121859270253,0.771240228454,1,1,False,0.0121859270253,0.00341318713834,0.2800925306095842,,-1,,True,1.0,1.0,2.0,2.0,1,119.31249420527777,False,22.8260869565,40,40,B000028,4,8,14,69,0.548090839077969,0.5382111863128467,OK states=241 max_d=0.940026 alphaT=0.000993348 MPa,91.17491085636269,4.961228538456751,25.230737000985943,68.85102020318786,3.0294210295433563,0.3590879812222956,22.89818770125729,0.6963048594069609,13.751601657334867,0.2750982430853244,8.528382299211339,3.8819860971116382,84.26794379060848,0.09560282055255759,46.46759516252686,0.008110199325107948,15.944119367998157,24.72357384985822
231,0.920431326255,0.801343444465,0.801343444465,0.0690040707371,0.00372308436099,0.0100301663583,0.855929302273,1,1,False,0.0100301663583,0.0017189980416,0.17138280465084435,39.0,1,3110.7740416388892,False,1.0,1.0,1.0,1.0,1,43.7173340775,False,29.4827586207,39,40,B000029,4,10,14,87,0.5436978572076752,0.5385399764727163,OK states=241 max_d=0.953438 alphaT=0.00056294 MPa,78.58672165084593,3.339733275745578,43.71733407742598,36.994684542248784,2.2404171727261315,0.6201355301053917,21.138173288323532,0.6783392636648905,14.680495552820668,0.20924916618573686,8.338517553082317,3.5728142501956484,53.45799292378388,0.06828190311515865,46.73713357478902,0.006484198300136611,14.338852903622241,22.94171830968919
241,0.851182286648,0.635364778454,0.635364778454,0.0411434928897,0.00263344556745,0.00067429293265,0.614453444047,1,1,False,0.00067429293265,0.000284087612961,0.4213118649257135,,-1,,True,1.0,1.0,1.0,1.0,1,15.695422467083333,False,1.09756097561,40,40,B000030,4,5,14,41,0.5498099809912014,0.5132956041242289,OK states=241 max_d=0.907319 alphaT=0.000297227 MPa,73.15945248775299,8.52218344487094,15.695422467076021,36.38707934470129,2.619974496513827,0.35939359394889525,27.883327045145112,0.7688645361232795,12.233897066159528,0.22898693699246625,10.919153013448184,2.310277608295532,56.28289169931975,0.0718535324309007,49.62308445397707,0.01360619483955236,21.43850131413919,13.07728321899581
