DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-57.03405063,0.026476344,7678046850,9.17E-06,10666015366,6.87E-06,2.06447E+11,1.28E-05,2.43E-06,2.26992357,0.111785898,0.120203374,0.120203374
-99.68875199,0.037463563,19099387664,1.30E-05,14610017210,1.10E-05,2.05555E+11,1.15E-05,2.69E-06,1.01716682,0.165685135,0.300235458,0.300235458
-32.01838782,0.033589019,7641439022,8.67E-06,10651623247,9.80E-06,2.07789E+11,1.19E-05,3.67E-06,1.534727027,0.062209489,0.06565787,0.06565787
-31.69263378,0.02926465,11112988700,9.77E-06,12671427724,9.52E-06,1.98342E+11,1.24E-05,2.58E-06,0.604438371,0.061856066,0.071714421,0.071714421
-93.924041,0.032765643,11133869796,1.00E-05,39721087112,9.53E-06,1.93674E+11,1.23E-05,3.73E-05,0.50738608,0.187792052,0.21701004,0.21701004
-36.92549956,0.027417578,5986020629,8.70E-06,29896528573,7.73E-06,2.08774E+11,1.28E-05,5.80E-06,2.122559001,0.07454048,0.074560184,0.074560184
-73.62004287,0.030958572,11699529815,1.09E-05,24115604716,7.45E-06,1.909E+11,1.12E-05,1.07E-06,0.533108976,0.122605189,0.181759788,0.181759788
-75.72987223,0.035971177,15619672960,1.05E-05,32403974258,1.08E-05,1.95447E+11,1.25E-05,8.36E-06,1.544631578,0.151264499,0.187614212,0.187614212
-25.46570179,0.030971675,14738106907,1.27E-05,13659137082,7.27E-06,2.0848E+11,1.19E-05,1.71E-05,1.708243813,0.040981257,0.073796466,0.073796466
-71.81943362,0.034598115,12879859553,9.86E-06,39481190837,1.02E-05,2.01889E+11,1.20E-05,1.10E-06,0.873303985,0.138588371,0.165976226,0.165976226
-71.72272324,0.029506945,6500293061,1.08E-05,37105130689,7.85E-06,2.04826E+11,1.10E-05,6.14E-06,0.540816792,0.113744904,0.175879572,0.175879572
-69.86567403,0.029590265,7389046355,9.30E-06,15811722655,6.97E-06,2.05145E+11,1.22E-05,1.94E-06,1.58645301,0.132131453,0.149393502,0.149393502
-48.77560418,0.022845629,12783787211,1.01E-05,25347797723,9.72E-06,1.91562E+11,1.06E-05,2.49E-06,0.78700483,0.06770567,0.113996159,0.113996159
-83.23861684,0.024980484,5923475476,1.04E-05,20117575888,1.00E-05,2.05861E+11,1.11E-05,2.96E-06,1.006447666,0.125444326,0.200452765,0.200452765
-38.39936539,0.020357926,9364208733,9.97E-06,39932555933,1.07E-05,1.9864E+11,1.06E-05,1.59E-05,1.585576996,0.050188508,0.089455282,0.089455282
-117.8938964,0.038327188,13115774637,9.53E-06,18522923258,9.38E-06,1.96179E+11,1.20E-05,2.30E-06,0.695232516,0.237497572,0.262163641,0.262163641
-112.0530133,0.037275788,5643460909,8.11E-06,17289208810,7.93E-06,1.97213E+11,1.29E-05,2.96E-05,2.570940473,0.250989725,0.213692745,0.250989725
-84.59461253,0.029268261,16849741940,1.19E-05,22733464898,1.10E-05,1.93946E+11,1.09E-05,1.27E-06,2.05472286,0.119399924,0.234914767,0.234914767
-61.84799677,0.036374492,10486152392,1.15E-05,31586491840,1.10E-05,1.99194E+11,1.25E-05,4.53E-06,0.571133791,0.122431624,0.164595846,0.164595846
-91.81469319,0.033566931,6593206383,1.22E-05,37890071130,8.85E-06,1.92087E+11,1.13E-05,2.06E-06,1.66068722,0.143722002,0.258664978,0.258664978
-60.39124264,0.032343797,18121815633,1.25E-05,27012115887,1.10E-05,1.93564E+11,1.09E-05,4.51E-06,2.91989287,0.0866597,0.176138405,0.176138405
-103.9113531,0.03395703,9272216233,8.72E-06,13034959999,8.26E-06,2.06077E+11,1.27E-05,1.28E-06,2.238488051,0.220097049,0.212076388,0.220097049
-70.20607997,0.025218047,7402209857,1.21E-05,25112541716,1.10E-05,2.08935E+11,1.10E-05,7.17E-06,1.238021414,0.094529726,0.196375366,0.196375366
-97.23872945,0.026444481,11870289440,1.27E-05,28149988266,1.01E-05,1.91314E+11,1.13E-05,3.96E-05,1.583431171,0.133397886,0.283874965,0.283874965
-85.66588313,0.034734846,7781745941,9.55E-06,13513036934,7.52E-06,2.08345E+11,1.15E-05,1.27E-06,2.463114125,0.154502767,0.189616229,0.189616229
-33.03669055,0.035628299,10409497455,1.27E-05,36504600555,6.99E-06,1.99494E+11,1.28E-05,9.66E-06,0.516179192,0.064898098,0.094423712,0.094423712
-56.58563692,0.031080777,19031182755,1.12E-05,38869983491,1.08E-05,2.09392E+11,1.25E-05,2.72E-06,2.607110466,0.104267511,0.148085809,0.148085809
-78.53818792,0.033374316,5515847392,1.27E-05,17370244928,9.88E-06,2.06927E+11,1.19E-05,1.99E-05,1.845353165,0.129867345,0.230824099,0.230824099
-86.12010999,0.027086764,10696838440,1.12E-05,12790402041,1.10E-05,2.02036E+11,1.14E-05,8.52E-06,1.905189219,0.13107435,0.225225288,0.225225288
-80.73974681,0.021020325,18782212674,1.08E-05,29907549983,9.80E-06,1.95901E+11,1.23E-05,3.19E-06,2.882052282,0.128732236,0.201827502,0.201827502
-115.3240621,0.020687996,11859456737,9.43E-06,23917410954,9.70E-06,1.90729E+11,1.05E-05,1.49E-05,2.010621794,0.155126728,0.253616906,0.253616906
-22.05284626,0.020037536,7898030181,9.24E-06,11634690208,9.23E-06,1.9221E+11,1.17E-05,3.90E-05,2.629262543,0.03494369,0.047490153,0.047490153
-53.5050633,0.02027245,5667667346,8.17E-06,16177346759,9.77E-06,2.05398E+11,1.07E-05,1.34E-06,1.188039064,0.080467587,0.102772419,0.102772419
-53.3433488,0.030958052,5489748513,1.03E-05,21262842206,1.06E-05,2.04924E+11,1.08E-05,3.25E-05,1.331435738,0.082552532,0.128859066,0.128859066
-74.68562627,0.03977903,7942922842,8.40E-06,13236831502,7.02E-06,2.00746E+11,1.10E-05,4.09E-05,0.929716868,0.139304245,0.145646012,0.145646012
-20.38608775,0.024884174,7973485223,9.55E-06,11293524870,9.93E-06,1.90651E+11,1.23E-05,3.15E-05,1.600939111,0.036959475,0.045559596,0.045559596
-55.3011313,0.038126729,9861775864,1.27E-05,32107046182,1.09E-05,1.94343E+11,1.16E-05,3.00E-05,1.980127311,0.093169023,0.164290734,0.164290734
-56.00949037,0.021650462,9300031828,1.16E-05,18756100789,1.02E-05,1.95366E+11,1.25E-05,3.94E-06,0.934747606,0.09063389,0.149352782,0.149352782
