geo_id,sim_id,KH,Kh,E_Sv,nu,c_Sv,phi,pw_Sv,dilationRatio,status,is_collapsed,max_eq_plastic_strain,rp_max_rw,rp_severe_rw,theta_breakout,theta_breakout_severe,plastic_area_fraction,sigma_theta_max,ur_max_abs_rw,ur_convergence_rw,ur_expansion_rw,Regime,Sv_MPa,Hardening_over_Sv
dataset_batch_7_geo_batch7_0780,dataset_batch_7_geo_batch7_0780_sim_001,1.013332409,0.50662702,553.593414,0.166618855,0.049323425,23.45850271,0.487069578,0,SUCCESS,0,0.000234605,1.126487851,1.040518522,90,90,0.025580012,113789648.6,0.001823674,0.001823674,0.000701247,2,60,16.66666667
dataset_batch_7_geo_batch7_0781,dataset_batch_7_geo_batch7_0781_sim_001,1.094413338,0.5514975,592.6121035,0.301884857,0.081223048,22.04128566,0.620668627,0,SUCCESS,0,0.000218052,1.082659483,1.040518522,90,6.75,0.013087448,122248623.1,0.001510343,0.001510343,0.000672171,2,60,16.66666667
dataset_batch_7_geo_batch7_0782,dataset_batch_7_geo_batch7_0782_sim_001,1.133051961,0.632529107,406.95342,0.176101252,0.063155629,21.38064967,0.63216399,0,SUCCESS,0,0.000132124,1.040518522,1,90,2.250000715,0.010113028,122138915.1,0.002381746,0.002381746,0.000966846,2,60,16.66666667
dataset_batch_7_geo_batch7_0783,dataset_batch_7_geo_batch7_0783_sim_001,1.080649997,0.517148426,314.1490529,0.323556518,0.123110726,21.61468509,0.56091321,0,SUCCESS,0,0.000173208,1.040518522,1,11.25,4.499999523,0.007138608,125265206.2,0.003021619,0.003021619,0.001157328,2,60,16.66666667
dataset_batch_7_geo_batch7_0784,dataset_batch_7_geo_batch7_0784_sim_001,0.982553826,0.533315129,289.126197,0.280357701,0.057330552,21.10463532,0.514549056,0,SUCCESS,0,0.000185433,1.082659483,1,90,90,0.014277216,108517551.5,0.002942797,0.002942797,0.000919907,2,60,16.66666667
dataset_batch_7_geo_batch7_0785,dataset_batch_7_geo_batch7_0785_sim_001,1.155240755,0.568338116,893.311049,0.197047636,0.060741895,26.59043762,0.527338446,0,SUCCESS,0,4.71E-05,1.040518522,1,9,0,0.00594884,137245899.2,0.001316296,0.001316296,0.000450303,1,60,16.66666667
dataset_batch_7_geo_batch7_0786,dataset_batch_7_geo_batch7_0786_sim_001,1.094369736,0.546713213,492.6963251,0.293217345,0.113600155,21.46873997,0.724499188,0,SUCCESS,0,0.000598897,1.126487851,1.082659483,15.75,11.25,0.015466984,116621792,0.00155749,0.00155749,0.001081593,2,60,16.66666667
dataset_batch_7_geo_batch7_0787,dataset_batch_7_geo_batch7_0787_sim_001,1.107768528,0.635187064,410.5916029,0.238767558,0.058493129,21.88285666,0.660299314,0,SUCCESS,0,1.02E-18,1,1,0,0,0,117817269.6,0.002091458,0.002091458,0.00086335,1,60,16.66666667
dataset_batch_7_geo_batch7_0788,dataset_batch_7_geo_batch7_0788_sim_001,0.976286867,0.546735159,238.0301791,0.262874302,0.042110547,20.55830338,0.454086757,0,SUCCESS,0,0.00221112,1.126487851,1.082659483,90,90,0.033908388,101375546.9,0.003880942,0.003880942,0.000859239,2,60,16.66666667
dataset_batch_7_geo_batch7_0789,dataset_batch_7_geo_batch7_0789_sim_001,1.097679028,0.612253263,897.1206888,0.260758296,0.058433395,20.25974035,0.728369518,0,SUCCESS,0,0.000204929,1.126487851,1.040518522,90,90,0.02082094,109864652.7,0.000842831,0.000842831,0.000501273,2,60,16.66666667
