DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-40.11558598,0.015300115,4170267125,1.12E-05,45901969532,1.28E-05,1.98984E+11,1.10E-05,7.82E-05,0.156291203,0.181238607,0.013625811,1.534887504,0.157073974,0.291505974,0.291505974
-30.46332128,0.05306773,13355097460,8.48E-06,24037183006,1.00E-05,2.05039E+11,1.18E-05,1.04E-05,0.392477254,0.15063874,0.017809459,0.723276377,0.22091348,0.184847624,0.22091348
-65.71101908,0.029010459,5280840317,1.32E-05,8353050902,7.99E-06,1.90235E+11,1.21E-05,3.30E-06,1.840474172,0.119801868,0.018908549,1.256063835,0.125009962,0.262006881,0.262006881
-74.89825271,0.05929832,3283192463,1.46E-05,5317511904,4.37E-06,2.09462E+11,1.13E-05,2.61E-05,0.236267708,0.163108853,0.020306913,0.892019702,0.221636632,0.350352272,0.350352272
-21.31073464,0.033834713,23972505623,7.75E-06,20888166553,1.14E-05,1.94578E+11,1.27E-05,8.23E-06,3.049248096,0.107270456,0.016568792,1.026477974,0.156090006,0.138178465,0.156090006
-49.26804611,0.046291288,7181986846,1.25E-05,40253885640,8.59E-06,2.00695E+11,1.36E-05,1.10E-06,1.082769109,0.1362409,0.012589255,0.544900096,0.219795627,0.232714933,0.232714933
-54.52328136,0.021530811,10689916702,9.78E-06,9673383558,7.15E-06,1.9589E+11,1.04E-05,3.46E-05,0.665287573,0.193684522,0.024287442,1.698533354,0.158563106,0.294756391,0.294756391
-54.2554961,0.051073964,3330156452,1.24E-05,33143006961,1.22E-05,2.05244E+11,1.08E-05,1.55E-05,0.201505493,0.180076132,0.022817648,1.558800953,0.215210161,0.360291868,0.360291868
-49.41772835,0.030839945,24299687896,9.24E-06,11721796074,5.78E-06,1.90048E+11,1.32E-05,4.88E-06,2.198230191,0.149971683,0.014407949,0.706340194,0.21923281,0.197480751,0.21923281
-21.16011675,0.03806692,7529124719,1.45E-05,5979082968,7.44E-06,2.03976E+11,1.21E-05,2.07E-06,0.882082243,0.119420452,0.018349592,1.332393031,0.129623863,0.277677791,0.277677791
-75.16514257,0.01853601,11202258313,7.22E-06,18617298450,1.06E-05,1.98858E+11,1.19E-05,6.52E-05,0.502110284,0.15103247,0.01887541,0.81753324,0.198132298,0.172508391,0.198132298
-65.56772899,0.044473313,17036320234,8.50E-06,29247574248,1.08E-05,2.00896E+11,1.26E-05,1.75E-06,3.871417163,0.106877118,0.020783966,1.152465216,0.16825396,0.166321999,0.16825396
-30.72288334,0.023536067,3966941568,1.38E-05,6880799839,4.93E-06,1.95701E+11,1.15E-05,5.56E-05,0.114108227,0.163490662,0.016397195,0.937107551,0.175411188,0.301604019,0.301604019
-39.85512136,0.056074255,13125080979,1.05E-05,13367623702,6.59E-06,2.09572E+11,1.03E-05,2.33E-05,0.323809609,0.192509744,0.012251825,1.991349141,0.207366329,0.312397438,0.312397438
-63.85303618,0.0372464,5191902823,1.18E-05,51532169071,9.15E-06,1.94456E+11,1.36E-05,7.41E-06,1.364423081,0.137403769,0.024928741,0.548289879,0.227185081,0.241101462,0.241101462
-58.25011361,0.042328263,11995462636,1.32E-05,10817318565,9.79E-06,2.02421E+11,1.30E-05,1.09E-06,0.603149121,0.131180833,0.021809765,0.882274699,0.193764183,0.274350719,0.274350719
-37.95847319,0.017166865,6185754342,8.40E-06,41738563995,8.50E-06,1.97304E+11,1.11E-05,3.44E-05,0.937711173,0.198732634,0.015008801,1.038189059,0.189105078,0.243673947,0.243673947
-32.63459256,0.05252281,15316041420,1.12E-05,23449649923,5.58E-06,2.08673E+11,1.02E-05,2.58E-05,2.640742038,0.169768483,0.017338934,0.538942578,0.198917849,0.246506105,0.246506105
-71.15644882,0.026658293,4648131408,1.04E-05,5518457402,1.27E-05,1.93478E+11,1.38E-05,8.14E-06,0.214200089,0.100599251,0.019480625,1.717926539,0.159894917,0.183914617,0.183914617
-77.06246084,0.057520314,8274489646,9.84E-06,8664271389,8.95E-06,2.06765E+11,1.07E-05,1.07E-05,1.639080151,0.157310337,0.021385215,0.604589657,0.215051459,0.226320764,0.226320764
-26.76328475,0.033061961,9443858918,1.26E-05,27002736863,7.09E-06,1.91648E+11,1.33E-05,3.39E-06,0.344210613,0.113142631,0.015388914,1.518586127,0.149955115,0.226277826,0.226277826
-43.82971171,0.048731865,3720537191,7.87E-06,47570608925,4.17E-06,2.03078E+11,1.25E-05,2.54E-06,0.137070598,0.143748793,0.012856643,0.730769362,0.23060562,0.153274692,0.23060562
-52.34399922,0.022164131,20829944317,1.46E-05,16829577245,1.19E-05,1.97883E+11,1.16E-05,8.05E-05,4.115554002,0.186299068,0.023918479,1.242737587,0.125682102,0.39194236,0.39194236
-51.72380108,0.046656432,6287541123,1.09E-05,20036509351,7.21E-06,1.9083E+11,1.23E-05,4.00E-05,0.105044862,0.182188688,0.020128038,0.588758291,0.285906816,0.257975916,0.285906816
-44.60111491,0.021187422,12198780146,1.17E-05,6442700807,8.51E-06,2.05712E+11,1.17E-05,1.27E-06,3.30177714,0.138069041,0.016589768,1.835000725,0.106484955,0.255451407,0.255451407
-24.10323402,0.058960511,4883607851,8.88E-06,12660911126,1.14E-05,1.99639E+11,1.06E-05,9.50E-06,1.163653291,0.118431086,0.012406412,0.974187537,0.148615925,0.168836709,0.168836709
-79.57330922,0.034194621,16100794401,1.37E-05,35754831983,4.29E-06,2.04444E+11,1.34E-05,3.02E-05,0.298092349,0.161030958,0.0243108,1.121169191,0.231542754,0.340226678,0.340226678
-70.41891968,0.054114155,8988502068,1.41E-05,55588914285,8.06E-06,1.95233E+11,1.00E-05,3.82E-06,1.927966786,0.105864531,0.023067748,0.796056427,0.124366986,0.253668509,0.253668509
